"GeneName","log2FoldChange","pvalue","padj"
"ANGPTL1",-2.72676999767729,3.30555936234174e-20,1.17576394247789e-18
"ANGPTL2",-1.68169302387345,5.88078114036017e-17,1.35122980079733e-15
"ANGPTL4",-2.06187455153548,3.39837140164177e-14,5.04286456271748e-13
"ANGPTL5",-3.4717104505999,3.03681477564699e-19,9.6135433081065e-18
"ANGPTL6",1.06595498041178,2.48827132451398e-06,9.88956382879652e-06
"ANGPTL7",-3.39481577747208,3.91011894933279e-16,7.8260062511725e-15
"ANGPTL8",-3.22918796408435,3.0099848904007e-18,8.27375586226786e-17
"ANK2",-2.19370380425818,1.16779702687628e-20,4.45404351977674e-19
"ANKDD1A",-1.03558869251202,7.24173440447324e-13,8.67273034543283e-12
"ANKK1",-1.12472845688308,2.27425218413774e-06,9.10371885890668e-06
"ANKRD20A1",-1.01722156227303,0.00156066395071943,0.00355690557714962
"ANKRD22",1.25013120087471,1.80384005005589e-07,8.83526072473331e-07
"ANKRD29",-1.93765815349502,1.85867235749576e-20,6.90711464182491e-19
"ANKRD30B",1.06718680803838,0.0066977707620239,0.0133211997752756
"ANKRD33",-1.15538567354675,0.00311942433125933,0.00663572020919921
"ANKRD33B",-1.45608619770906,3.23708257606576e-13,4.10722421174302e-12
"ANKRD35",-1.0312405894678,8.15409243822605e-06,2.92003830640395e-05
"ANKRD40CL",1.62201430842426,3.13543391182665e-05,0.000100683739173686
"ANKRD50",1.18712591867703,4.01027278201906e-11,3.66559774887729e-10
"ANKRD53",-2.60230413829958,5.42502355088278e-28,5.99086612357369e-26
"ANKRD65",-1.30059902643753,3.72918986406708e-12,4.00182103266046e-11
"ANLN",2.05473594387395,1.33226841703264e-15,2.4568064381668e-14
"ANO3",-1.54950942339816,0.00012302973375031,0.000353261793326286
"ANO6",-1.33214170018229,7.94212063341201e-16,1.49655396141893e-14
"ANO7",1.2145234614036,1.43245812088248e-08,8.50253423376308e-08
"ANO9",1.20263080602197,1.57890421421908e-07,7.80981943877009e-07
"ANTKMT",1.52677124020803,8.85306061304211e-12,8.96348791493187e-11
"ANTXR2",-1.71243836332448,8.2620438898415e-21,3.2356548792505e-19
"ANTXRL",-1.42817106158469,0.000514520880084947,0.00130460680768035
"ANXA1",-2.37461646816447,2.95055604935511e-33,6.91887180264827e-31
"ANXA10",1.1171862090611,0.00067225036469373,0.00166000044552687
"ANXA3",-1.59229457784226,6.83482766877093e-14,9.55266495516078e-13
"ANXA8L1",-1.601780183091,5.51842415112166e-06,2.05201543317159e-05
"ANXA9",1.2227078165361,1.68747592885244e-09,1.17578568571619e-08
"AOC1",2.71803220635289,1.1031043839984e-12,1.27292616462124e-11
"AOC2",-1.99724425977254,5.52286685206554e-18,1.46510241603538e-16
"AOC3",-3.6820661436929,1.82941582403724e-38,9.14419056888511e-36
"AOX1",-2.36103713815613,3.70636520812097e-19,1.16361488864545e-17
